1,food1,,白飯.jpg,白飯,140,196,0,0.42,4.34,57.4,56,2.8,1.4,54.6,9.8,0.28,0.98
2,food2,,雞丁腰果.jpg,雞丁腰果,110,283.5,39.2,19.51,22.38,5.6,385.4,48.4,8.4,280.2,66.4,1.5,1.52
3,food3,,黃帝豆.jpg,黃帝豆,80,113.4,0,0.32,6.96,14.64,544,6.4,15.2,112,56.8,11.28,0.88
4,food3,,青江菜.jpg,青江菜,50,8,0,0.15,0.85,1.1,140,18.5,40,14,8.5,0.85,0.25
5,food2,,滷豆腐.jpg,傳統豆腐,105,92.4,0,3.57,8.925,6.3,189,2.1,147,116.55,34.65,2.1,0.84
6,food2,,苦瓜排骨湯.jpg,苦瓜排骨湯,30,42.9,6.6,3.71,1.61,0.74,55.1,5.8,4.9,21,4.2,0.12,0.54
7,food6,,杏仁奶酪.jpg,鮮乳酪,120,115.2,0,4.8,3.36,15.36,164.4,70.8,36,58.8,10.8,0,0.12
8,food7,飲料,柳橙汁.jpg,柳橙汁,320,160,0,0.32,0.32,39.36,67.2,70.4,9.6,12.8,9.6,0.32,0
9,food7,飲料,洛神花茶.jpg,洛神花茶,320,211.2,0,0,0,52.8,38.4,38.4,12.8,76.8,6.4,0.32,0.32
10,food7,套餐,宮保雞丁套餐.jpg,宮保雞丁套餐,527,789.25,45.8,38.46,44.605,80.925,1264.2,1718.2,210.1,494.65,137.9,15.765,3.56
11,food7,套餐,三杯雞套餐.jpg,三杯雞套餐,156,339.5,104,23.955,24.31,5.975,306,807.75,3.05,189.1,25.45,0.755,2.23
12,food7,套餐,焗烤海鮮.jpg,焗烤海鮮,420,692.9,363.5,35.605,58.475,36.67,991.7,866.5,618.15,924.8,159.15,3.35,6.935
13,food2,,煎虱目魚.jpg,煎虱目魚,185,438.3,66.5,30.815,267.05,0,372.75,168,28,427,63,1.225,1.575
14,food7,套餐,蘑菇焗烤鱈魚.jpg,蘑菇焗烤鱈魚,330,572.7,106.65,52.125,42.305,12.46,846.6,1703.41,475.05,730.25,76.5,2.4,3.045
15,food2,,糖醋黃魚.jpg,糖醋黃魚,170,404.9,87.92,32.63,27.16,,443.8,106.96,8.4,375.2,42,1.4,0.56
16,food2,,藍帶豬排.jpg,藍帶豬排,230,595.85,112.5,38.555,43.3,17.62,616.45,1074.5,250.85,336.2,53,2.145,3.935
17,food2,,三杯雞.jpg,三杯雞,110,231,,6.9,18.4,0.2,217,118,2,142,18,0.5,1.7
18,food2,,胡瓜炒麵筋.jpg,胡瓜炒麵筋,105,186.2,,10.48,9.6,2.72,73,7.6,18.2,16,10.4,0.6,0.52
19,food2,,小黃瓜炒玉米筍.jpg,小黃瓜炒玉米筍,105,66,,0.25,1.6,3.9,180,4,22,43.5,20,2.1,0.35
20,food2,,木耳炒鳳梨.jpg,木耳炒鳳梨,105,88.8,,0.22,0.9,10.82,40,6.4,21,9.8,14.2,0.38,0.42
21,food2,,玉米粒炒蛋.jpg,玉米粒炒蛋,105,162.5,,5.25,7.1,10.05,156.5,183,16,121,13,1.15,0.8
22,food2,,白菜滷.jpg,白菜滷,100,24.8,,0.56,2.93,2.27,188.7,20.6,36.4,48.6,11.8,0.55,0.69
23,food2,,甜不辣炒玉米筍.jpg,甜不辣炒玉米筍,105,101.4,,1.08,4.08,8.46,171.2,138.4,14.6,66.8,23,3.26,0.44
24,food6,,鮮乳(低脂).jpg,鮮乳(低脂),200,92,,3.4,6.4,8.8,318,104,214,184,40,0.2,0.8
25,food2,,豆干西洋芹炒素腰花.jpg,豆干西洋芹炒素腰花,125,89.7,,2.04,4.06,2.7,165.2,139,72.6,69.2,18.4,1.25,0.54
26,food2,,豆豉苦瓜.jpg,豆豉苦瓜,110,76.3,,0.83,1.9,4.525,203,266.65,31.2,54.85,19.9,0.585,0.34
27,food7,零食點心,沙其馬.jpg,沙其馬,40,200.9,,,,25.42,36.7,0.7,4.2,11.3,6.9,--,0.13
28,food2,,豆瓣豆腐.jpg,豆瓣豆腐,115,186.85,,3.805,9.21,6.61,214.45,254.1,140.95,122.55,37.6,2.155,0.865
29,food2,,豆瓣茄子.jpg,豆瓣茄子,115,123.85,,0.805,2.01,5.31,234.45,256.1,18.95,39.55,18.6,0.555,0.265
30,food2,,炸豬排.jpg,炸豬排,100,258.3,,9.18,19.98,----,323.1,31.5,0.9,34.2,20.7,0.54,1.53
31,food3,,炒大白菜.jpg,炒大白菜,105,57,,0.2,1.1,1.8,186,15,41,35,10,0.4,0.4
32,food3,,炒小白菜.jpg,炒小白菜,105,58,,0.3,1,2.1,240,40,106,37,15,1.4,0.3
33,food2,,炒干絲.jpg,炒干絲,105,214,,8.6,18.3,4.8,45,549,287,277,41,6.2,2.4
34,food3,,炒冬瓜菜.jpg,炒冬瓜菜,105,58,,0.2,0.5,2.6,120,5,6,25,8,0.2,0.1
35,food3,,炒玉米粒.jpg,炒玉米粒,110,183,,0.6,2.1,19.8,190,231,2,57,15,0.5,0.4
36,food3,,炒豆芽菜.jpg,炒豆芽菜,105,82.1,,0.68,6.5,3.75,78.5,13.3,29.1,61.9,19.6,0.76,0.48
37,food3,,炒空心菜.jpg,炒空心菜,105,69,,0.4,1.4,4.3,440,52,78,37,21,1.5,0.7
38,food3,,炒青椒.jpg,炒青椒,105,71.3,,0.23,0.83,5.73,146,17.8,12.9,28.6,11.5,0.4,0.21
39,food3,,炒南瓜.jpg,炒南瓜,105,109,,0.2,2.4,14.2,320,1,9,42,14,0.4,0.4
40,food3,,炒高麗菜.jpg,炒高麗菜,105,68,,0.3,1.2,4.4,150,17,52,28,11,0.3,0.2
41,food3,,炒海帶絲.jpg,炒海帶絲,105,61,,0.2,0.7,3.3,11,606,87,8,14,0.2,0.1
42,food3,,炒菠菜.jpg,炒菠菜,105,67,,0.5,2.1,3,460,54,77,45,58,2.1,0.6
43,food3,,炒鵝菜心.jpg,炒鵝菜心,105,61,,0.2,1,3.1,310,22,16,18,16,0.3,0.2
44,food3,,空心菜與魚板.jpg,空心菜與魚板,105,82.4,,0.36,2.98,6.08,361.6,220.4,65,47.2,19.4,1.22,0.6
45,food2,,洋菜炒蛋.jpg,洋菜炒蛋,105,106.2,,2.3,3.22,7.26,144.6,27,26,61,11,0.6,0.4
46,food2,,炸金線魚.jpg,炸金線魚,115,331,,12.6,19.3,-,398,70,267,43,290,1.3,1.1
47,food2,,炸豬排.jpg,炸豬排,115,349,,14.7,19.1,-,318,55,28,204,19,1.2,2.5
48,food2,,炸雞排.jpg,炸雞排,115,237,,0.4,23,-,324,57,1,215,28,0.3,0.5
49,food2,,炸鱈魚.jpg,炸鱈魚,115,238,,0.1,23.9,0,441,41,3,331,42,2.4,0.5
50,food2,,炒甜椒肉片.jpg,炒甜椒肉片,105,86.2,,1.2,2.94,0,152.9,13.4,10,27.2,12.2,0.42,0.35
51,food2,,炒素魷魚.jpg,炒素魷魚,15,48.8,,0.05,0.11,,29,7.9,3,5.2,1.6,0.04,0.03
52,food2,,胡蘿蔔炒蛋.jpg,胡蘿蔔炒蛋,105,103.8,,2.38,3.3,6.3,256.6,90.2,30,78.6,15,0.68,0.48
53,food2,,茄汁炒蛋.jpg,茄汁炒蛋,120,243.3,,9.91,12.26,2.97,162.2,246.6,31.1,189.9,13.1,1.88,1.22
54,food3,,茄汁高麗菜.jpg,茄汁高麗菜,115,79.3,,0.31,1.36,7.07,189.2,128.6,53.1,32.9,13.1,0.38,0.22
55,food2,,蕃茄炒豆包.jpg,蕃茄炒豆包,105,150,,7.52,4.96,5.3,171.4,13.8,72,90.4,19.8,0.98,0.54
56,food3,,炒菜豆.jpg,炒菜豆,105,75,,0.1,2.2,6.1,160,3,27,42,29,0.8,0.6
57,food2,,韭菜炒蟹肉絲.jpg,韭菜炒蟹肉絲,105,90.4,,0.3,3.46,7.96,173.8,144.4,34.8,85,13.8,0.42,0.3
58,food3,,香菇炒大白菜.jpg,香菇炒大白菜,105,59.8,,0.22,1.33,2.32,195.4,13.7,37.2,40.1,10.7,0.42,0.47
59,food3,,高麗菜炒豆皮.jpg,高麗菜炒豆皮,105,85.5,,1.15,3.61,4.41,173.2,17.6,53,64.3,19.5,0.74,0.4
60,food2,,蕃茄炒蛋.jpg,蕃茄炒蛋,110,139.2,,2.14,3.14,4.46,192.6,34.2,14,53,11.8,0.6,0.4
61,food3,,蝦皮炒扁蒲.jpg,蝦皮炒扁蒲,105,69.95,,0.16,2.06,4.125,108.9,216.5,86.15,52.5,22.7,0.505,0.275
62,food2,,菠菜炒肉絲.jpg,菠菜炒肉絲,105,83.5,,1.47,4.11,-,449.9,52.1,69.4,44.3,54.5,1.95,0.71
63,food2,,烤香腸.jpg,蒜味香腸,100,431,,33.6,16.5,16.4,291,796,9,169,17,0.9,1.8
64,food2,,培根烤花枝.jpg,培根烤花枝,100,147.3,,10.89,11.53,0.98,117.2,298.5,10.9,108.3,52.4,0.29,1.3
65,food3,,蒜爆高麗菜.jpg,蒜爆高麗菜,105,68,,0.3,1.2,4.4,150,17,52,28,11,0.3,0.2
66,food2,,蔥暴雞丁.jpg,蔥暴雞丁,110,194,,0.9,22.4,,310,49,1,223,28,0.4,0.4
67,food2,,滷雞翅.jpg,滷雞翅,100,227,,17.2,16.8,--!,113,125,10,101,12,0.4,1.1
68,food2,,滷雞腿.jpg,滷雞腿,100,141,,6.9,18.4,0.2,217,118,2,142,18,0.5,1.7
69,food2,,滷雞塊.jpg,滷雞塊,100,248,,19.9,16.1,-,228,44,1,72,6,0.4,0.3
70,food2,,橙汁魚.jpg,橙汁魚,130,225,,4.82,19.22,-,400.2,59.4,3.6,171.8,23.6,0.32,0.4
71,food1,,白飯.jpg,白飯,100,140,,,,,,,,,,,
72,food2,,滷麵筋.jpg,滷麵筋,40,255.2,,20.64,17.76,-,2,2.4,10.8,11.2,4.8,0.88,0.72
73,food1,,米.jpg,米,20,70.6,0,0.12,1.4,15.54,14.8,0.8,1.2,9.8,3.8,0.04,0.28
74,food1,,麵條(乾).jpg,麵條(乾),20,71.4,0,0.32,2.46,14.34,21,28.4,3.6,20.8,7,0.12,0.18
75,food1,,蘿蔔糕.jpg,蘿蔔糕,50,69.5,1.5,2.2,0.85,11.6,14,128.5,2.5,16.5,3.5,0.1,0.1
76,food1,,芋頭粿.jpg,芋頭粿,60,70.8,1.8,1.56,1.26,13.08,28.2,148.2,3,22.2,4.2,0,0.3
77,food1,,南瓜.jpg,南瓜,110,70.4,0,0.22,2.64,15.62,352,1.1,9.9,46.2,15.4,0.44,0.44
78,food1,,馬鈴薯.jpg,馬鈴薯,90,72.9,0,0.27,2.43,14.85,270,4.5,2.7,43.2,22.5,0.45,0.63
79,food1,,蕃薯.jpg,蕃薯,55,68.2,0,0.165,0.55,15.73,159.5,24.2,18.7,29.15,15.4,0.275,0.165
80,food1,,蓮藕.jpg,蓮藕,100,74,0,0.3,1.8,17,280,17,20,54,13,0.4,0.2
81,food1,,玉米.jpg,玉米,65,72.15,0,1.235,2.47,12.61,156,3.9,1.3,50.05,20.15,0.39,0.585
82,food1,,米粉(細).jpg,米粉(細),20,69.6,0,0.16,0.06,17.12,2.4,34,0.8,16.6,0.4,0.08,0.02
83,food1,,綠豆粉.jpg,綠豆粉,20,68.8,0,0.3,4.34,12.58,220.4,1.6,14.8,71.8,29.4,1.04,0.64
84,food1,,麵線.jpg,麵線,25,82.25,0,0.225,2.7,17.525,25.75,719.5,2.25,27.5,7.75,0.3,0.15
85,food1,,米苔目.jpg,米苔目,60,70.8,0,0.06,0.36,17.28,3.6,4.8,6,10.2,2.4,0.06,0.06
86,food1,,荸齊.jpg,荸齊,85,67.15,0,0.085,1.7,15.98,382.5,21.25,3.4,54.4,10.2,0.595,0.34
87,food1,,春捲皮.jpg,春捲皮,30,81,0,4.17,1.53,9.45,34.2,134.7,0.3,17.1,6.3,0.39,0.12
88,food1,,天婦羅(甜不辣).jpg,天婦羅(甜不辣),35,60.9,7,1.61,4.34,7.385,33.6,239.4,5.95,38.5,5.25,0.245,0.07
89,food1,,中筋麵粉.jpg,中筋麵粉,20,71.8,7,0.28,2.42,14.56,20.6,0.2,3.4,8.6,5.2,0.14,0.12
90,food1,,西谷米.jpg,西谷米,20,71.8,0,0.04,0.02,17.98,3.2,2,3.4,1.8,1,0.24,0.02
91,food1,,圓糯米.jpg,圓糯米,20,71.8,0,0.1,1.68,15.6,23.8,0.4,1.2,22,4.6,0.08,0.18
92,food1,,蓮藕粉.jpg,蓮藕粉,20,70.4,0,0.02,0.02,17.66,6.4,1,8.8,2.8,1.6,0.16,0.02
93,food1,,燕麥片.jpg,燕麥片,20,78.6,0,1.94,2.46,12.82,65.8,0.6,8,23.2,23.2,0.46,0.36
94,food1,,栗子(生).jpg,栗子(生),40,74.4,0,0.24,1.4,16.6,181.2,0.8,9.6,37.2,20,0.44,0.28
95,food1,,菱角.jpg,菱角,50,37.5,0,0.15,0.95,8.05,125,10.5,9.5,41.5,17,2.95,0.25
96,food1,,蓮子.jpg,蓮子,50,70.5,0,0.35,4.75,12.6,200,68,34,163.5,44,6.15,0.65
97,food1,,小麥.jpg,小麥,20,72.2,0,0.56,2.86,13.68,67,0.4,5.8,32,27.6,0.56,0.52
98,food1,,大麥.jpg,大麥,20,73.4,0,0.6,1.86,14.84,75.2,7.4,6.6,36,21.6,0.48,0.28
99,food1,,綠豆.jpg,綠豆,20,68.4,0,0.18,4.68,12.44,79.6,0,28.2,72.4,32.4,1.28,0.54
100,food1,,紅豆.jpg,紅豆,20,66.4,0,0.12,4.48,12.26,197.6,0.6,23,98.6,35.4,1.96,0.76
101,food1,,薏仁.jpg,薏仁,20,74.6,0,1.44,2.78,12.54,58.2,0.2,1.6,23.6,33.8,0.54,0.5
102,food1,,通心麵.jpg,通心麵,20,70,0,0.28,3.06,13.9,34.4,0.2,3.4,16,7.6,0.24,0.1
103,food1,,花豆.jpg,花豆,20,66.6,0,0.24,3.8,12.62,186,6,17.8,91.2,32.2,1.8,0.58
104,food1,,衛生油麵.jpg,衛生油麵,45,73.8,0,0.945,2.43,13.995,27,23.85,8.55,17.55,5.4,0.135,0.09
105,food1,,芋頭.jpg,芋頭,55,70.4,0,0.605,1.375,14.52,275,2.75,15.4,35.2,15.95,0.495,1.21
106,food1,,馬鈴薯粉.jpg,馬鈴薯粉,20,66.8,0,0.02,0.02,16.76,9.6,1.6,7.8,5.8,1.2,0.06,0.02
107,food1,,蕃薯粉.jpg,蕃薯粉,20,70.8,0,0.04,0.02,17.76,3.4,1.4,12.4,1,0.8,0.04,0.02
108,food1,,山藥.jpg,山藥,100,73,0,2.2,1.9,12.8,370,9,5,32,13,0.3,0.3
109,food1,,燒餅.jpg,燒餅,22,86,0,4.3178,1.82,10.22,16.2,91.6,1.6,13,2.4,0.2,0.1
110,food1,,白土司麵包.jpg,白土司麵包,20,71.8,0,0.04,0.02,17.98,3.2,2,3.4,1.8,1,0.24,0.02
111,food1,,蠶豆(鹽酥).jpg,蠶豆(鹽酥),20,100.6,0,5.12,4.42,9.38,177.4,87,3.8,70.6,19.4,0.62,0.42
112,food1,,碗粿.jpg,碗粿,92,339.38,19.8,11.583,8.15,50.042,92.94,15,12.4,89.74,25.56,0.634,0.912
113,food1,,奶酥麵包.jpg,奶酥麵包,20,100.6,0,5.12,4.42,9.38,177.4,87,3.8,70.6,19.4,0.62,0.42
114,food1,,蜂蜜蛋糕.jpg,蜂蜜蛋糕,75,270,120,13.35,4.875,33.075,81.75,57,21.75,97.5,8.25,0.825,0.6
115,food1,,蕃薯蜜餞.jpg,蕃薯蜜餞,55,189.2,0,0.33,0.495,46.365,88,89.65,36.85,12.1,9.9,0.44,0.11
116,food1,,春捲.jpg,春捲,215,188.5,18,1.46,8.43,28.72,396.6,54.5,66.2,131.7,33,1.27,1.28
117,food1,,餛飩.jpg,餛飩,75,183,0,13.725,6.825,8.475,146.25,519.75,33,65.25,13.5,0.975,1.05
118,food3,,胡蘿蔔.jpg,胡蘿蔔,100,21,0,0.2,0.8,4.5,200,23,27,13,10,0.2,0.2
119,food3,,青花菜.jpg,青花菜,100,31,0,0.2,4.3,4.6,340,21,47,67,22,0.8,0.5
120,food3,,茄子.jpg,茄子,100,25,0,0.4,1.3,4.7,200,4,18,28,14,0.4,0.2
121,food3,,苦瓜.jpg,苦瓜,100,18,0,0.2,0.8,3.7,160,11,24,41,14,0.3,0.2
122,food3,,綠豆芽.jpg,綠豆芽,100,33,0,0.5,3.1,5.4,190,34,147,42,22,0.8,0.3
123,food3,,蒲瓜.jpg,蒲瓜,100,18,0,0.1,0.4,4.2,90,3,18,20,9,0.2,0.2
124,food3,,洋蔥.jpg,洋蔥,100,18,0,0.1,0.4,4.2,90,3,18,20,9,0.2,0.2
125,food3,,胡瓜.jpg,胡瓜,100,17,0,0.2,0.9,3.4,90,8,16,13,10,0.2,0.2
126,food3,,絲瓜.jpg,絲瓜,100,17,0,0.2,1,3.4,60,0,10,26,9,0.2,0.2
127,food3,,竹筍.jpg,竹筍,100,22,0,0.2,2.1,3.8,340,1,7,41,12,0.3,0.4
128,food3,,蘆筍.jpg,蘆筍,100,25,0,0.1,0.3,5.9,280,15,20,65,16,1.9,0.2
129,food3,,玉米筍.jpg,玉米筍,100,27,0,0.2,2,5.3,190,2,14,56,25,3.9,0.5
130,food3,,空心菜.jpg,空心菜,100,24,0,0.4,1.4,4.3,440,52,78,37,21,1.5,0.7
131,food3,,香菇.jpg,香菇,100,40,0,0.4,3.4,7,280,2,3,86,17,0.6,1.1
132,food3,,金針菇.jpg,金針菇,100,41,0,0.5,2.2,8,430,4,0,108,16,0.9,0.7
133,food3,,高麗菜.jpg,高麗菜,100,23,0,0.3,1.2,4.4,150,17,52,28,11,0.3,0.2
134,food3,,地瓜葉.jpg,地瓜葉,100,23,0,0.3,1.2,4.4,310,21,85,30,20,1.5,0.6
135,food3,,芹菜.jpg,芹菜,100,17,0,0.3,0.9,3.1,320,71,66,31,11,0.9,0.3
136,food3,,菜豆.jpg,菜豆,100,30,0,0.1,2.2,6.1,160,3,27,42,29,0.8,0.6
137,food3,,小白菜.jpg,小白菜,100,13,0,0.3,1,2.1,240,40,106,37,15,1.4,0.3
138,food3,,韭菜花.jpg,韭菜花,100,28,0,0.3,2,5.2,200,7,21,35,13,0.4,0.3
139,food3,,菠菜.jpg,菠菜,100,22,0,0.5,2.1,3,460,54,77,45,58,2.1,0.6
140,food3,,蘿蔔.jpg,蘿蔔,100,21,0,0.2,0.8,4.5,200,23,27,13,10,0.2,0.2
141,food3,,木耳.jpg,木耳,100,35,0,0.3,0.9,7.7,40,28,33,17,15,1.1,0.1
142,food3,,花胡瓜.jpg,花胡瓜,100,15,0,0.3,1.2,2.5,170,6,30,31,15,0.3,0.2
143,food3,,鹹菜.jpg,鹹菜,100,14,0,0.4,0.9,2.2,180,1955,49,20,11,1,0.3
144,food3,,萵苣.jpg,萵苣,100,11,0,0.3,0.6,1.9,130,12,24,28,8,0.4,0.2
145,food3,,油菜.jpg,油菜,100,14,0,0.4,1.5,1.9,280,59,105,38,15,1.5,0.7
146,food3,,海帶.jpg,海帶,100,16,0,0.2,0.7,3.3,11,606,87,8,14,0.2,0.1
147,food3,,莧菜.jpg,莧菜,100,18,0,0.6,2.2,1.9,530,25,156,54,37,4.9,0.4
148,food3,,碗豆.jpg,碗豆,100,41,0,0.2,3.2,8,160,6,43,64,23,8.5,0.4
149,food3,,龍鬚菜.jpg,龍鬚菜,100,17,0,0.2,3,2,250,9,29,65,19,1.6,0.8
150,food3,,蕃茄(大).jpg,蕃茄(大),100,26,0,0.2,0.9,5.5,210,9,10,20,12,0.3,0.2
151,food3,,紫菜.jpg,紫菜,10,22.9,0,0,2.71,4.05,305.4,213.2,18.3,38.2,18.1,9.04,0.44
152,food7,調味料,紅砂糖.jpg,紅砂糖,5,19.25,0,0,0,4.97,3.05,0.15,0.3,0.05,0.55,0,0.005
153,food7,調味料,豆瓣醬.jpg,豆瓣醬,5,8.85,0,0.405,0.71,0.61,34.45,252.1,0.95,11.55,4.6,0.155,0.065
154,food7,調味料,五香粉.jpg,五香粉,5,19.2,0,0.445,0.435,3.405,66.4,4.9,32.3,9.2,13.35,1.735,0.11
155,food7,調味料,低鈉鹽.jpg,低鈉鹽,5,0.55,0,0,0,0.14,1300.35,917.05,14.45,4.15,2.2,0.18,0.005
156,food7,調味料,醬油.jpg,醬油,5,4.5,0,0,0.39,0.745,20.85,254.2,0.15,4.45,1.5,0.105,0.015
157,food7,調味料,米酒.jpg,米酒,5,7.7,0,0,0,0,0,0,0,0,0,0,0
158,food7,調味料,烏醋.jpg,烏醋,5,2.1,0,0,0.025,0.435,2.85,78.55,0.3,0.35,0.5,0.08,0.005
159,food7,調味料,沙茶醬.jpg,沙茶醬,5,36.15,1.65,3.59,0.51,0.52,17.75,21.05,10.1,14.1,2.8,0.2,0.085
160,food7,調味料,鮮雞粉.jpg,鮮雞粉,5,13.25,1.25,0.505,0.54,1.665,5.7,876.1,1.65,6.6,0.6,0.09,0.025
161,food7,調味料,甜麵醬.jpg,甜麵醬,5,10.7,0,0.12,0.225,2.2,8.95,93.5,1.2,4.95,1.6,0.07,0.025
162,food7,調味料,味噌.jpg,味噌,5,11.4,0,0.5,1.025,0.725,31.8,335.3,7.2,8.85,4.35,0.61,0.115
163,food7,調味料,麻油.jpg,麻油,5,44.1,0,4.99,0,0,0,0,0,0,0,0,0
164,food7,調味料,咖哩粉.jpg,咖哩粉,5,20.7,0,0.705,0.695,2.925,85.85,27.6,37.75,20.95,14.7,3.295,0.165
165,food7,調味料,豆豉.jpg,豆豉,5,11.4,0,0.5,1.025,0.725,31.8,335.3,7.2,8.85,4.35,0.61,0.115
166,food7,調味料,香油.jpg,香油,5,44.55,0,4.995,0,0,0,0,0,0,0,0,0
167,food7,調味料,蕃茄醬.jpg,蕃茄醬,5,5.65,0,0.005,0.08,1.335,19.6,55.8,0.55,2.45,1.05,0.04,0.01
168,food7,調味料,味素.jpg,味素,5,12.55,0,0,3.13,0,0.05,582.8,0.65,0.05,0.05,0.79,0.015
169,food7,調味料,蔭豆豉.jpg,蔭豆豉,,,,,,,,,,,,,
